Date Made Public,Name & Location,type,Number of Records
2/25/2008,"Mecklenburg County (Charlotte, NC)","A County employee's car was stolen, and in that car was a printout of bank draft transactions within the Park and Recreation Department. bank account information of an unknown number of people in Mecklenburg County has been stolen.",Unknown
2/27/2008,"Health Net Federal Services (Rancho Cordova, CA)","Thousands of doctors in eleven states had their personal information openly posted on a company website. Social Security numbers were part of the personal information exposed. The states involved include Wisconsin, Michigan, Illinois, Indiana, Ohio, Pennsylvania, Tennessee, Iowa, Missouri, Kentucky and West Virginia.","103,000"
2/29/2008,"Wellesley Health Department (Wellesley, MA)","Information in an envelope that had been mailed by the town?s health department to a Medicare office in Boston say when the envelope arrived, it was open and the contents were missing. The material included social security numbers, addresses and dates of birth of seniors who had received flu shots from the town last fall.",480
3/3/2008,"Kraft Foods (Northfield, IL)",A company-owned laptop computer was stolen from an employee of Kraft Foods traveling on company business. The laptop contained the names and may have contained Social Security numbers.,"20,000"
3/5/2008,"Nevada Department of Public Safety (Carson City, NV)","A private firm working for the Nevada Department of Public Safety has lost personal information provided by individuals seeking jobs with the agency. Data included Social Security numbers, addresses and background check information.",109
3/6/2008,"Cascade Healthcare Community (Prineville, OR)","A computer virus may have exposed to outside eyes the names, credit card numbers, dates of birth and home addresses individuals who donated to Cascade Healthcare Community.","11,500"
3/8/2008,"MTV Networks (Los Angeles, CA)","Computer files with confidential data on employees at MTV Networks were breached by someone outside the company. Personal information in the files included names, birth dates, Social Security numbers and compensation data.","5,000"
3/10/2008,"Texas Department of Health and Human Services (Austin, TX)","Information, including Social Security numbers that could be used to steal Medicaid clients' identity may have been stored on two computers stolen during a burglary. Computers could have contained personal information only on e-mails. The e-mails, however, would normally contain only an individual's case number. It is unlikely those e-mails would have listed Social Security numbers.",Unknown
3/10/2008,"Central Florida Regional Hospital (Sanford, FL)","The medical records of Central Florida Regional Hospital patients were sold last month at a Salt Lake City surplus store for about $20. The records were sold to a local school teacher looking for scrap paper for her fourth-grade class. The records contained detailed medical histories, phone numbers, addresses, Social Security numbers and insurance information. They were lost en route to a Medicare auditor in Las Vegas, NV.",28
3/12/2008,"Harvard University (Cambridge, MA)","Harvard Graduate School of Arts and Sciences (GSAS) Web server may have compromised 10,000 sets of personal information from applicants and students, including 6,600 Social Security numbers and 500 Harvard ID numbers.","6,600"
3/13/2008,"University Health Care (Utah) (SLC, UT)","A laptop and flash drive containing patient data were stolen after hours from a locked office. Data included patients' names, addresses, and in some cases, medications, health insurance policy numbers, and Social Security numbers.","4,800"
